Id,ActivityDate,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,2016-03-13,1,411,426
1503960366,2016-03-14,1,354,386
1503960366,2016-03-15,1,312,335
1503960366,2016-03-16,2,333,366
1503960366,2016-03-17,1,402,437
1503960366,2016-03-18,1,379,411
1503960366,2016-03-19,1,447,468
1503960366,2016-03-20,1,469,476
1503960366,2016-03-21,1,390,427
1503960366,2016-03-23,1,281,297
1503960366,2016-03-24,1,303,344
1503960366,2016-03-25,1,351,386
1503960366,2016-03-26,2,437,472
1503960366,2016-03-27,3,483,506
1503960366,2016-03-28,1,73,77
1503960366,2016-03-29,1,349,378
1503960366,2016-03-31,1,308,336
1503960366,2016-04-01,1,283,306
1503960366,2016-04-02,1,439,509
1503960366,2016-04-03,1,379,426
1503960366,2016-04-04,1,294,337
1503960366,2016-04-05,1,280,309
1503960366,2016-04-09,1,380,407
1503960366,2016-04-10,1,455,478
1503960366,2016-04-11,1,310,329
1644430081,2016-03-27,1,373,495
1644430081,2016-03-28,1,466,466
1644430081,2016-03-29,1,56,121
1644430081,2016-03-30,1,538,840
1844505072,2016-04-03,1,169,190
1844505072,2016-04-04,1,771,771
1844505072,2016-04-09,1,221,636
1844505072,2016-04-10,1,277,325
1927972279,2016-03-11,1,29,36
1927972279,2016-03-12,3,608,628
1927972279,2016-03-13,3,505,516
1927972279,2016-03-14,2,173,179
1927972279,2016-03-15,1,68,68
1927972279,2016-03-16,3,599,645
1927972279,2016-03-17,1,6,6
1927972279,2016-03-18,3,523,553
1927972279,2016-03-19,3,583,611
1927972279,2016-03-20,3,548,576
1927972279,2016-03-21,1,334,352
1927972279,2016-03-22,1,379,394
1927972279,2016-03-23,2,447,474
1927972279,2016-03-24,2,428,437
1927972279,2016-03-25,1,60,63
1927972279,2016-03-26,1,387,406
1927972279,2016-03-27,1,112,120
1927972279,2016-03-28,2,219,230
1927972279,2016-03-29,2,563,588
1927972279,2016-03-30,2,401,404
1927972279,2016-03-31,3,493,520
1927972279,2016-04-01,1,369,383
1927972279,2016-04-02,1,280,315
1927972279,2016-04-03,1,107,111
1927972279,2016-04-04,2,465,483
1927972279,2016-04-05,1,393,420
1927972279,2016-04-06,1,414,429
1927972279,2016-04-09,1,39,47
1927972279,2016-04-10,3,479,496
1927972279,2016-04-11,2,496,525
1927972279,2016-04-12,2,482,498
2022484408,2016-03-13,1,135,144
2026352035,2016-03-11,1,126,149
2026352035,2016-03-12,2,540,572
2026352035,2016-03-13,2,648,671
2026352035,2016-03-14,2,510,538
2026352035,2016-03-15,2,422,436
2026352035,2016-03-16,1,144,163
2026352035,2016-03-17,2,479,510
2026352035,2016-03-18,2,575,611
2026352035,2016-03-19,2,515,550
2026352035,2016-03-20,2,545,588
2026352035,2016-03-21,2,567,604
2026352035,2016-03-22,2,520,545
2026352035,2016-03-23,2,562,600
2026352035,2016-03-24,2,531,567
2026352035,2016-03-25,2,495,526
2026352035,2016-03-26,2,579,621
2026352035,2016-03-27,2,545,581
2026352035,2016-03-28,2,510,539
2026352035,2016-03-29,2,482,521
2026352035,2016-03-30,2,468,520
2026352035,2016-03-31,2,524,555
2026352035,2016-04-01,2,514,544
2026352035,2016-04-02,2,528,575
2026352035,2016-04-03,2,534,605
2026352035,2016-04-04,2,493,533
2026352035,2016-04-05,2,531,571
2026352035,2016-04-06,2,465,517
2026352035,2016-04-07,2,540,597
2026352035,2016-04-08,2,521,548
2026352035,2016-04-09,2,490,555
2026352035,2016-04-10,2,504,556
2026352035,2016-04-11,2,541,582
2026352035,2016-04-12,1,341,354
2347167796,2016-03-11,1,14,17
2347167796,2016-03-12,2,474,499
2347167796,2016-03-13,2,577,620
2347167796,2016-03-14,2,432,468
2347167796,2016-03-15,2,501,565
2347167796,2016-03-16,3,446,475
2347167796,2016-03-17,1,383,413
2347167796,2016-03-18,2,435,536
2347167796,2016-03-19,2,250,261
2347167796,2016-03-20,2,529,585
2347167796,2016-03-21,2,452,484
2347167796,2016-03-22,2,488,523
2347167796,2016-03-23,2,449,493
2347167796,2016-03-24,2,435,491
2347167796,2016-03-25,1,313,350
2347167796,2016-03-27,1,107,144
2347167796,2016-03-28,2,516,560
2347167796,2016-03-29,2,422,472
2347167796,2016-03-30,2,472,514
2347167796,2016-03-31,2,517,577
2347167796,2016-04-01,1,374,391
2347167796,2016-04-02,2,417,463
2347167796,2016-04-03,2,579,625
2347167796,2016-04-04,2,472,525
2347167796,2016-04-05,2,395,448
2347167796,2016-04-06,1,372,425
2347167796,2016-04-07,1,70,76
2347167796,2016-04-08,1,380,405
2347167796,2016-04-09,1,18,21
2347167796,2016-04-10,2,601,659
2347167796,2016-04-11,1,353,399
3977333714,2016-03-13,1,304,475
3977333714,2016-03-14,2,303,421
3977333714,2016-03-15,2,257,387
3977333714,2016-03-16,2,208,321
3977333714,2016-03-17,1,356,481
3977333714,2016-04-01,1,297,430
3977333714,2016-04-02,1,199,290
3977333714,2016-04-03,1,222,359
3977333714,2016-04-04,1,205,374
3977333714,2016-04-05,1,378,486
3977333714,2016-04-06,1,296,426
3977333714,2016-04-07,1,221,405
3977333714,2016-04-08,1,305,480
3977333714,2016-04-09,1,273,418
3977333714,2016-04-10,1,293,452
3977333714,2016-04-11,1,282,415
4020332650,2016-03-12,2,384,429
4020332650,2016-03-13,2,505,533
4020332650,2016-03-14,1,265,290
4020332650,2016-03-15,1,331,341
4020332650,2016-03-16,1,459,493
4020332650,2016-03-17,1,374,407
4020332650,2016-03-30,2,366,387
4020332650,2016-03-31,1,259,268
4020332650,2016-04-01,3,429,450
4020332650,2016-04-02,2,499,508
4020332650,2016-04-03,2,387,399
4020332650,2016-04-04,1,463,478
4020332650,2016-04-06,1,245,257
4020332650,2016-04-10,1,74,74
4020332650,2016-04-11,2,426,438
4319703577,2016-03-11,1,78,90
4319703577,2016-03-12,2,503,517
4319703577,2016-03-13,1,364,376
4319703577,2016-03-14,1,94,100
4319703577,2016-03-15,2,458,490
4319703577,2016-03-16,2,496,531
4319703577,2016-03-17,2,495,529
4319703577,2016-03-18,2,481,503
4319703577,2016-03-19,2,473,505
4319703577,2016-03-20,2,450,488
4319703577,2016-03-21,1,428,466
4319703577,2016-03-22,1,63,64
4319703577,2016-03-23,2,490,510
4319703577,2016-03-24,2,412,429
4319703577,2016-03-25,2,519,558
4319703577,2016-03-26,1,489,517
4319703577,2016-03-27,2,583,613
4319703577,2016-03-28,2,498,525
4319703577,2016-03-29,3,514,547
4319703577,2016-03-30,1,454,478
4319703577,2016-03-31,1,38,47
4319703577,2016-04-01,3,466,484
4319703577,2016-04-02,2,529,543
4319703577,2016-04-03,2,568,583
4319703577,2016-04-04,2,473,505
4319703577,2016-04-05,2,507,544
4319703577,2016-04-06,3,901,959
4319703577,2016-04-07,1,433,450
4445114986,2016-03-12,2,361,381
4445114986,2016-03-13,1,348,353
4445114986,2016-03-15,2,487,560
4445114986,2016-03-16,3,388,418
4445114986,2016-03-17,1,217,231
4445114986,2016-03-19,1,137,156
4445114986,2016-03-20,2,539,552
4445114986,2016-03-21,1,195,209
4445114986,2016-03-22,2,344,360
4445114986,2016-03-24,2,380,405
4445114986,2016-03-25,2,325,344
4445114986,2016-03-26,1,156,166
4445114986,2016-03-27,1,318,325
4445114986,2016-03-28,2,359,376
4445114986,2016-03-29,2,442,478
4445114986,2016-03-31,2,360,416
4445114986,2016-04-01,1,311,337
4445114986,2016-04-02,1,469,495
4445114986,2016-04-05,1,465,496
4445114986,2016-04-06,1,431,450
4445114986,2016-04-07,1,262,268
4445114986,2016-04-08,2,219,233
4445114986,2016-04-09,3,391,443
4445114986,2016-04-10,2,347,369
4445114986,2016-04-11,2,395,428
4445114986,2016-04-12,1,308,332
4558609924,2016-03-30,2,96,101
4558609924,2016-03-31,1,190,191
4558609924,2016-04-02,1,86,87
4558609924,2016-04-03,1,274,277
4702921684,2016-03-11,1,119,124
4702921684,2016-03-12,2,454,478
4702921684,2016-03-13,2,281,288
4702921684,2016-03-14,2,437,457
4702921684,2016-03-15,2,453,467
4702921684,2016-03-16,2,461,488
4702921684,2016-03-17,2,446,464
4702921684,2016-03-18,1,345,364
4702921684,2016-03-21,1,99,102
4702921684,2016-03-22,2,428,458
4702921684,2016-03-23,2,429,466
4702921684,2016-03-24,2,428,460
4702921684,2016-03-25,2,458,487
4702921684,2016-03-26,2,404,418
4702921684,2016-03-27,4,563,598
4702921684,2016-03-28,2,419,426
4702921684,2016-03-29,2,413,430
4702921684,2016-03-30,2,421,455
4702921684,2016-03-31,2,420,425
4702921684,2016-04-01,2,454,475
4702921684,2016-04-02,2,538,566
4702921684,2016-04-03,2,558,586
4702921684,2016-04-04,2,419,444
4702921684,2016-04-05,2,404,440
4702921684,2016-04-06,2,454,475
4702921684,2016-04-07,2,448,460
4702921684,2016-04-08,1,345,370
4702921684,2016-04-09,2,425,588
4702921684,2016-04-10,3,533,555
4702921684,2016-04-11,2,329,334
5553957443,2016-03-12,3,707,760
5553957443,2016-03-13,3,756,833
5553957443,2016-03-14,2,273,313
5553957443,2016-03-15,2,378,429
5553957443,2016-03-16,1,319,365
5553957443,2016-03-17,2,311,336
5553957443,2016-03-18,1,105,115
5553957443,2016-03-21,1,144,154
5553957443,2016-03-22,1,526,575
5553957443,2016-03-23,1,249,297
5553957443,2016-03-24,1,364,418
5553957443,2016-03-25,1,607,675
5553957443,2016-03-26,3,348,377
5553957443,2016-03-27,4,665,752
5553957443,2016-03-28,2,613,688
5553957443,2016-03-29,1,314,358
5553957443,2016-03-30,2,360,407
5553957443,2016-03-31,2,351,395
5553957443,2016-04-01,1,337,360
5553957443,2016-04-02,2,791,903
5553957443,2016-04-03,2,742,840
5553957443,2016-04-04,2,413,453
5553957443,2016-04-05,2,340,383
5553957443,2016-04-06,2,385,405
5553957443,2016-04-07,2,338,376
5553957443,2016-04-08,1,379,417
5553957443,2016-04-09,2,619,686
5553957443,2016-04-10,2,629,709
5553957443,2016-04-11,2,428,459
5553957443,2016-04-12,1,346,364
5577150313,2016-03-11,1,156,161
5577150313,2016-03-12,3,523,562
5577150313,2016-03-13,2,419,444
5577150313,2016-03-14,2,364,373
5577150313,2016-03-15,3,470,503
5577150313,2016-03-16,3,446,466
5577150313,2016-03-17,2,432,457
5577150313,2016-03-18,2,421,438
5577150313,2016-03-19,3,366,382
5577150313,2016-03-20,3,619,655
5577150313,2016-03-21,1,387,415
5577150313,2016-03-22,1,99,109
5577150313,2016-03-23,3,511,561
5577150313,2016-03-24,2,390,414
5577150313,2016-03-25,3,430,441
5577150313,2016-03-26,3,438,471
5577150313,2016-03-27,2,330,346
5577150313,2016-03-28,3,484,517
5577150313,2016-03-29,2,451,478
5577150313,2016-03-30,3,432,449
5577150313,2016-03-31,2,426,456
5577150313,2016-04-01,2,435,447
5577150313,2016-04-02,3,355,385
5577150313,2016-04-03,2,389,415
5577150313,2016-04-04,2,435,458
5577150313,2016-04-05,3,390,414
5577150313,2016-04-06,2,393,420
5577150313,2016-04-07,2,454,496
5577150313,2016-04-08,2,451,461
5577150313,2016-04-09,4,499,516
5577150313,2016-04-10,2,412,442
5577150313,2016-04-11,1,312,333
6117666160,2016-03-11,1,78,78
6117666160,2016-03-12,3,644,668
6117666160,2016-03-13,1,117,120
6117666160,2016-03-14,2,626,670
6117666160,2016-03-15,2,482,501
6117666160,2016-03-16,6,606,655
6117666160,2016-03-17,2,638,653
6117666160,2016-03-18,3,598,654
6117666160,2016-03-19,4,611,644
6117666160,2016-03-20,2,535,551
6117666160,2016-03-21,2,493,509
6117666160,2016-03-22,1,376,404
6117666160,2016-03-23,3,484,542
6117666160,2016-03-24,3,699,790
6117666160,2016-03-25,1,510,523
6117666160,2016-03-26,3,436,467
6117666160,2016-03-27,2,496,515
6117666160,2016-03-28,1,21,33
6117666160,2016-03-29,2,556,573
6117666160,2016-03-30,2,101,106
6117666160,2016-03-31,3,589,609
6117666160,2016-04-01,3,558,586
6117666160,2016-04-02,1,454,466
